id,key,value,type
5941932,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5942429,access,private,regular
5942429,highway,service,regular
5942429,source,bing_imagery_0.25m_201005,regular
5942429,cfcc,A74,tiger
5942429,county,"San Diego, CA",tiger
5942429,source,tiger_import_dch_v0.6_20070809,tiger
5942429,tlid,195715337:195715338:195753556,tiger
5942429,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5942983,highway,residential,regular
5942983,cfcc,A41,tiger
5942983,county,"San Diego, CA",tiger
5942983,reviewed,no,tiger
5942983,separated,no,tiger
5942983,source,tiger_import_dch_v0.6_20070809,tiger
5942983,tlid,195742819,tiger
5942983,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943437,highway,residential,regular
5943437,cfcc,A41,tiger
5943437,county,"San Diego, CA",tiger
5943437,reviewed,no,tiger
5943437,separated,no,tiger
5943437,source,tiger_import_dch_v0.6_20070809,tiger
5943437,tlid,195412478,tiger
5943437,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943805,access,private,regular
5943805,highway,service,regular
5943805,cfcc,A74,tiger
5943805,county,"San Diego, CA",tiger
5943805,reviewed,no,tiger
5943805,source,tiger_import_dch_v0.6_20070809,tiger
5943805,tlid,195713340:195713341,tiger
5943805,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5944341,access,private,regular
5944341,highway,service,regular
5944341,cfcc,A74,tiger
5944341,county,"San Diego, CA",tiger
5944341,reviewed,no,tiger
5944341,source,tiger_import_dch_v0.6_20070809,tiger
5944341,tlid,195753409,tiger
5944341,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5945249,access,private,regular
5945249,highway,service,regular
5945249,cfcc,A74,tiger
5945249,county,"San Diego, CA",tiger
5945249,reviewed,no,tiger
5945249,source,tiger_import_dch_v0.6_20070809,tiger
5945249,tlid,195716696,tiger
5945249,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5945582,access,private,regular
5945582,highway,service,regular
5945582,cfcc,A74,tiger
5945582,county,"San Diego, CA",tiger
5945582,reviewed,no,tiger
5945582,source,tiger_import_dch_v0.6_20070809,tiger
5945582,tlid,195753511,tiger
5945582,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5945901,access,private,regular
5945901,highway,service,regular
5945901,cfcc,A74,tiger
5945901,county,"San Diego, CA",tiger
5945901,reviewed,no,tiger
5945901,source,tiger_import_dch_v0.6_20070809,tiger
5945901,tlid,195709251:195709254,tiger
5945901,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5946542,access,private,regular
5946542,highway,service,regular
5946542,cfcc,A74,tiger
5946542,county,"San Diego, CA",tiger
5946542,reviewed,no,tiger
5946542,source,tiger_import_dch_v0.6_20070809,tiger
5946542,tlid,195707929:195707930:195707935:195707959,tiger
5946542,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5946966,highway,residential,regular
5946966,cfcc,A41,tiger
5946966,county,"San Diego, CA",tiger
5946966,reviewed,no,tiger
5946966,separated,no,tiger
5946966,source,tiger_import_dch_v0.6_20070809,tiger
5946966,tlid,195282170,tiger
5946966,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5947368,highway,residential,regular
5947368,cfcc,A41,tiger
5947368,county,"San Diego, CA",tiger
5947368,reviewed,no,tiger
5947368,separated,no,tiger
5947368,source,tiger_import_dch_v0.6_20070809,tiger
5947368,tlid,195287423:195287872,tiger
5947368,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5947645,highway,residential,regular
5947645,cfcc,A41,tiger
5947645,county,"San Diego, CA",tiger
5947645,reviewed,no,tiger
5947645,separated,no,tiger
5947645,source,tiger_import_dch_v0.6_20070809,tiger
5947645,tlid,195307038:195307086:195307090:195307048:195307091,tiger
5947645,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5948258,access,private,regular
5948258,highway,service,regular
5948258,cfcc,A74,tiger
5948258,county,"San Diego, CA",tiger
5948258,reviewed,no,tiger
5948258,source,tiger_import_dch_v0.6_20070809,tiger
5948258,tlid,195708868:195708869:195753021,tiger
5948258,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5948632,highway,residential,regular
5948632,cfcc,A41,tiger
5948632,county,"San Diego, CA",tiger
5948632,reviewed,no,tiger
5948632,separated,no,tiger
5948632,source,tiger_import_dch_v0.6_20070809,tiger
5948632,tlid,195458010:195694423:195424032,tiger
5948632,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5949107,highway,residential,regular
5949107,cfcc,A41,tiger
5949107,county,"San Diego, CA",tiger
5949107,reviewed,no,tiger
5949107,separated,no,tiger
5949107,source,tiger_import_dch_v0.6_20070809,tiger
5949107,tlid,195286823,tiger
5949107,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5949473,access,private,regular
5949473,highway,service,regular
5949473,cfcc,A74,tiger
5949473,county,"San Diego, CA",tiger
5949473,reviewed,no,tiger
5949473,source,tiger_import_dch_v0.6_20070809,tiger
5949473,tlid,195711321,tiger
5949473,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5949814,access,private,regular
5949814,highway,service,regular
5949814,cfcc,A74,tiger
5949814,county,"San Diego, CA",tiger
5949814,reviewed,no,tiger
5949814,source,tiger_import_dch_v0.6_20070809,tiger
5949814,tlid,195753448,tiger
5949814,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5950155,access,private,regular
5950155,highway,service,regular
5950155,cfcc,A74,tiger
5950155,county,"San Diego, CA",tiger
5950155,reviewed,no,tiger
5950155,source,tiger_import_dch_v0.6_20070809,tiger
5950155,tlid,195708674:195708675,tiger
5950155,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5950591,access,private,regular
5950591,highway,service,regular
5950591,cfcc,A74,tiger
5950591,county,"San Diego, CA",tiger
5950591,source,tiger_import_dch_v0.6_20070809,tiger
5950591,tlid,195711025,tiger
5950591,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5950877,access,private,regular
5950877,highway,service,regular
5950877,cfcc,A74,tiger
5950877,county,"San Diego, CA",tiger
5950877,reviewed,no,tiger
5950877,source,tiger_import_dch_v0.6_20070809,tiger
5950877,tlid,195753143,tiger
5950877,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5951354,access,private,regular
5951354,highway,service,regular
5951354,cfcc,A74,tiger
5951354,county,"San Diego, CA",tiger
5951354,reviewed,no,tiger
5951354,source,tiger_import_dch_v0.6_20070809,tiger
5951354,tlid,195708060,tiger
5951354,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5951764,access,private,regular
5951764,highway,service,regular
5951764,cfcc,A74,tiger
5951764,county,"San Diego, CA",tiger
5951764,reviewed,no,tiger
5951764,source,tiger_import_dch_v0.6_20070809,tiger
5951764,tlid,195753462,tiger
5951764,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5952102,access,private,regular
5952102,highway,service,regular
5952102,cfcc,A74,tiger
5952102,county,"San Diego, CA",tiger
5952102,reviewed,no,tiger
5952102,source,tiger_import_dch_v0.6_20070809,tiger
5952102,tlid,195708694:195708695,tiger
5952102,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5952588,access,private,regular
5952588,highway,service,regular
5952588,cfcc,A74,tiger
5952588,county,"San Diego, CA",tiger
5952588,reviewed,no,tiger
5952588,source,tiger_import_dch_v0.6_20070809,tiger
5952588,tlid,195742897,tiger
5952588,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5952808,highway,residential,regular
5952808,cfcc,A41,tiger
5952808,county,"San Diego, CA",tiger
5952808,reviewed,no,tiger
5952808,separated,no,tiger
5952808,source,tiger_import_dch_v0.6_20070809,tiger
5952808,tlid,195439310,tiger
5952808,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5953146,access,private,regular
5953146,highway,service,regular
5953146,cfcc,A74,tiger
5953146,county,"San Diego, CA",tiger
5953146,reviewed,no,tiger
5953146,source,tiger_import_dch_v0.6_20070809,tiger
5953146,tlid,195708080:195708083,tiger
5953146,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5953580,access,private,regular
5953580,highway,service,regular
5953580,cfcc,A74,tiger
5953580,county,"San Diego, CA",tiger
5953580,reviewed,no,tiger
5953580,source,tiger_import_dch_v0.6_20070809,tiger
5953580,tlid,195461037,tiger
5953580,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5953865,access,private,regular
5953865,highway,service,regular
5953865,cfcc,A74,tiger
5953865,county,"San Diego, CA",tiger
5953865,reviewed,no,tiger
5953865,source,tiger_import_dch_v0.6_20070809,tiger
5953865,tlid,195753072,tiger
5953865,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5954267,highway,residential,regular
5954267,cfcc,A41,tiger
5954267,county,"San Diego, CA",tiger
5954267,reviewed,no,tiger
5954267,separated,no,tiger
5954267,source,tiger_import_dch_v0.6_20070809,tiger
5954267,tlid,195279123:195707860:195707861:195279125,tiger
5954267,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5954403,access,private,regular
5954403,highway,service,regular
5954403,cfcc,A74,tiger
5954403,county,"San Diego, CA",tiger
5954403,reviewed,no,tiger
5954403,source,tiger_import_dch_v0.6_20070809,tiger
5954403,tlid,195752986,tiger
5954403,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
